videoA,videoB
Kweisi_Mfume_0.npz,Kweisi_Mfume_4.npz
Kyle_Shewfelt_4.npz,Kyle_Shewfelt_2.npz
Kyle_Shewfelt_4.npz,Kyle_Shewfelt_1.npz
Larry_Brown_2.npz,Larry_Brown_1.npz
Larry_Flynt_1.npz,Larry_Flynt_2.npz
Larry_Nichols_0.npz,Larry_Nichols_1.npz
Larry_Wilmore_2.npz,Larry_Wilmore_0.npz
Laura_Bozzo_4.npz,Laura_Bozzo_1.npz
Laura_Bush_2.npz,Laura_Bush_4.npz
Laura_Bush_2.npz,Laura_Bush_1.npz
Laura_Elena_Harring_2.npz,Laura_Elena_Harring_0.npz
Laura_Elena_Harring_2.npz,Laura_Elena_Harring_4.npz
Laura_Flessel_2.npz,Laura_Flessel_0.npz
Laura_Linney_0.npz,Laura_Linney_4.npz
Laura_Pausini_0.npz,Laura_Pausini_2.npz
Lauren_Hutton_5.npz,Lauren_Hutton_0.npz
Lauren_Hutton_5.npz,Lauren_Hutton_4.npz
Laurence_Fishburne_2.npz,Laurence_Fishburne_5.npz
Laurence_Tribe_0.npz,Laurence_Tribe_5.npz
Laurie_Laychak_0.npz,Laurie_Laychak_4.npz
Lee_Baca_4.npz,Lee_Baca_0.npz
Lee_Byung-woong_0.npz,Lee_Byung-woong_5.npz
Leland_Chapman_4.npz,Leland_Chapman_1.npz
Lena_Olin_1.npz,Lena_Olin_0.npz
Lene_Espersen_1.npz,Lene_Espersen_2.npz
Leonid_Kuchma_2.npz,Leonid_Kuchma_4.npz
Lesia_Burlak_3.npz,Lesia_Burlak_0.npz
Lester_Holt_0.npz,Lester_Holt_3.npz
Leszek_Miller_3.npz,Leszek_Miller_1.npz
Leticia_Dolera_4.npz,Leticia_Dolera_2.npz
Leticia_Van_de_Putte_0.npz,Leticia_Van_de_Putte_4.npz
Leuris_Pupo_4.npz,Leuris_Pupo_0.npz
Leuris_Pupo_4.npz,Leuris_Pupo_3.npz
Lewis_Booth_2.npz,Lewis_Booth_0.npz
Li_Zhaoxing_0.npz,Li_Zhaoxing_4.npz
Liane_Janda_1.npz,Liane_Janda_4.npz
Lin_Yung_Hsi_3.npz,Lin_Yung_Hsi_4.npz
Lincoln_Chafee_2.npz,Lincoln_Chafee_5.npz
Linda_Dano_2.npz,Linda_Dano_5.npz
Linda_Dano_2.npz,Linda_Dano_3.npz
Linda_Franklin_2.npz,Linda_Franklin_0.npz
Linda_Franklin_2.npz,Linda_Franklin_4.npz
Linda_Lingle_4.npz,Linda_Lingle_2.npz
Linda_Mason_5.npz,Linda_Mason_4.npz
Linda_Sanchez_2.npz,Linda_Sanchez_0.npz
Linda_Sanchez_2.npz,Linda_Sanchez_1.npz
Lindsey_Graham_1.npz,Lindsey_Graham_0.npz
Lindsey_Graham_1.npz,Lindsey_Graham_3.npz
Lino_Oviedo_5.npz,Lino_Oviedo_0.npz
Lisa_Leslie_3.npz,Lisa_Leslie_5.npz
Lisa_Ling_0.npz,Lisa_Ling_2.npz
Lisa_Marie_Presley_1.npz,Lisa_Marie_Presley_2.npz
Liu_Mingkang_0.npz,Liu_Mingkang_1.npz
Liu_Ye_5.npz,Liu_Ye_2.npz
Liu_Ye_5.npz,Liu_Ye_0.npz
Liv_Tyler_3.npz,Liv_Tyler_5.npz
Loretta_Lynn_Harper_4.npz,Loretta_Lynn_Harper_3.npz
Loretta_Lynn_Harper_4.npz,Loretta_Lynn_Harper_0.npz
Lorraine_Bracco_5.npz,Lorraine_Bracco_0.npz
Lou_Lang_5.npz,Lou_Lang_0.npz
Louis_Van_Gaal_1.npz,Louis_Van_Gaal_0.npz
Louisa_Baileche_2.npz,Louisa_Baileche_0.npz
Lubomir_Zaoralek_2.npz,Lubomir_Zaoralek_5.npz
Luc_Montagnier_2.npz,Luc_Montagnier_5.npz
Lucia_Kenny_Anthony_1.npz,Lucia_Kenny_Anthony_4.npz
Lucia_Kenny_Anthony_1.npz,Lucia_Kenny_Anthony_5.npz
Lucio_Stanca_0.npz,Lucio_Stanca_4.npz
Lucio_Stanca_0.npz,Lucio_Stanca_2.npz
Ludivine_Sagnier_3.npz,Ludivine_Sagnier_0.npz
Luis_Ernesto_Derbez_Bautista_0.npz,Luis_Ernesto_Derbez_Bautista_5.npz
Luis_Fonsi_4.npz,Luis_Fonsi_2.npz
Luiz_Inacio_Lula_da_Silva_4.npz,Luiz_Inacio_Lula_da_Silva_2.npz
Lyle_Lovett_5.npz,Lyle_Lovett_4.npz
Lynne_Cheney_0.npz,Lynne_Cheney_1.npz
Mack_Brown_4.npz,Mack_Brown_5.npz
Madeleine_Albright_3.npz,Madeleine_Albright_5.npz
Maggie_Cheung_5.npz,Maggie_Cheung_0.npz
Maggie_Smith_4.npz,Maggie_Smith_0.npz
Mahathir_Mohamad_1.npz,Mahathir_Mohamad_3.npz
Mahathir_Mohamad_1.npz,Mahathir_Mohamad_0.npz
Mahmoud_Abbas_5.npz,Mahmoud_Abbas_1.npz
Malcolm_Jamal_Warner_2.npz,Malcolm_Jamal_Warner_1.npz
Manijeh_Hekmat_0.npz,Manijeh_Hekmat_2.npz
Manuel_Llorente_3.npz,Manuel_Llorente_0.npz
Manuel_Pellegrini_2.npz,Manuel_Pellegrini_3.npz
Marc_Anthony_5.npz,Marc_Anthony_2.npz
Marc_Bulger_1.npz,Marc_Bulger_0.npz
Marc_Racicot_4.npz,Marc_Racicot_2.npz
Marc_Racicot_4.npz,Marc_Racicot_0.npz
Marc_Shaiman_3.npz,Marc_Shaiman_1.npz
Marcos_Milinkovic_2.npz,Marcos_Milinkovic_0.npz
Margaret_Thatcher_1.npz,Margaret_Thatcher_4.npz
Margaret_Thatcher_1.npz,Margaret_Thatcher_3.npz
Maria_Bello_5.npz,Maria_Bello_3.npz
Maria_Bello_5.npz,Maria_Bello_4.npz
Maria_Callas_1.npz,Maria_Callas_2.npz
Maria_Guida_0.npz,Maria_Guida_3.npz
Maria_Shriver_4.npz,Maria_Shriver_0.npz
Maria_Soledad_Alvear_Valenzuela_1.npz,Maria_Soledad_Alvear_Valenzuela_3.npz
Mariana_Ohata_0.npz,Mariana_Ohata_3.npz
Marie-Josee_Croze_3.npz,Marie-Josee_Croze_4.npz
Marieta_Chrousala_4.npz,Marieta_Chrousala_0.npz
Marina_Silva_5.npz,Marina_Silva_2.npz
Marina_Silva_5.npz,Marina_Silva_4.npz
Mario_Cipollini_5.npz,Mario_Cipollini_1.npz
Mario_Dumont_2.npz,Mario_Dumont_0.npz
Mario_Gallegos_3.npz,Mario_Gallegos_4.npz
Mario_Kreutzberger_4.npz,Mario_Kreutzberger_3.npz
Mario_Lobo_Zagallo_5.npz,Mario_Lobo_Zagallo_1.npz
Marisa_Tomei_1.npz,Marisa_Tomei_4.npz
Marissa_Jaret_Winokur_4.npz,Marissa_Jaret_Winokur_3.npz
Mark_Cuban_3.npz,Mark_Cuban_4.npz
Mark_Dacey_0.npz,Mark_Dacey_3.npz
Mark_Foley_5.npz,Mark_Foley_4.npz
Mark_Geragos_2.npz,Mark_Geragos_4.npz
Mark_Kelly_0.npz,Mark_Kelly_1.npz
Mark_Leno_2.npz,Mark_Leno_1.npz
Mark_Wahlberg_2.npz,Mark_Wahlberg_3.npz
Martha_Lucia_Ramirez_2.npz,Martha_Lucia_Ramirez_3.npz
Martin_Landau_0.npz,Martin_Landau_2.npz
Martin_Luther_King_III_0.npz,Martin_Luther_King_III_3.npz
Martin_McGuinness_4.npz,Martin_McGuinness_1.npz
Martin_Sheen_5.npz,Martin_Sheen_4.npz
Martin_Sheen_5.npz,Martin_Sheen_3.npz
Mary_Carey_4.npz,Mary_Carey_0.npz
Mary_Landrieu_3.npz,Mary_Landrieu_2.npz
Mary_Matalin_2.npz,Mary_Matalin_5.npz
Mary_Matalin_2.npz,Mary_Matalin_3.npz
Mary_Robinson_4.npz,Mary_Robinson_2.npz
Mary_Robinson_4.npz,Mary_Robinson_5.npz
Massoud_Barzani_0.npz,Massoud_Barzani_1.npz
Massoud_Barzani_0.npz,Massoud_Barzani_4.npz
Matt_Anderson_0.npz,Matt_Anderson_2.npz
Matt_LeBlanc_0.npz,Matt_LeBlanc_3.npz
Nadia_Petrova_4.npz,Nadia_Petrova_5.npz
Nadine_Vinzens_0.npz,Nadine_Vinzens_4.npz
Nancy_Kerrigan_3.npz,Nancy_Kerrigan_2.npz
Nancy_Kerrigan_3.npz,Nancy_Kerrigan_4.npz
Nancy_Pelosi_4.npz,Nancy_Pelosi_0.npz
Nancy_Reagan_1.npz,Nancy_Reagan_3.npz
Nancy_Reagan_1.npz,Nancy_Reagan_4.npz
Nanni_Moretti_4.npz,Nanni_Moretti_2.npz
Narendra_Modi_2.npz,Narendra_Modi_3.npz
Narendra_Modi_2.npz,Narendra_Modi_4.npz
Natalia_Verbeke_5.npz,Natalia_Verbeke_3.npz
Natalia_Vodonova_0.npz,Natalia_Vodonova_2.npz
Natalie_Cole_5.npz,Natalie_Cole_2.npz
Natalie_Coughlin_5.npz,Natalie_Coughlin_2.npz
Natalie_Imbruglia_1.npz,Natalie_Imbruglia_2.npz
Natalie_Stewart_2.npz,Natalie_Stewart_3.npz
Natasa_Micic_0.npz,Natasa_Micic_5.npz
Natasha_Henstridge_3.npz,Natasha_Henstridge_1.npz
Natasha_Lyonne_4.npz,Natasha_Lyonne_0.npz
Natasha_McElhone_4.npz,Natasha_McElhone_1.npz
Nathan_Lane_1.npz,Nathan_Lane_0.npz
Newt_Gingrich_4.npz,Newt_Gingrich_2.npz
Newt_Gingrich_4.npz,Newt_Gingrich_1.npz
Nia_Vardalos_2.npz,Nia_Vardalos_1.npz
Nicanor_Duarte_Frutos_2.npz,Nicanor_Duarte_Frutos_0.npz
Nicanor_Duarte_Frutos_2.npz,Nicanor_Duarte_Frutos_5.npz
Nick_Markakis_3.npz,Nick_Markakis_2.npz
Nick_Nolte_2.npz,Nick_Nolte_5.npz
Nick_Reilly_1.npz,Nick_Reilly_5.npz
Nick_Rimando_3.npz,Nick_Rimando_2.npz
Nicolas_Cage_0.npz,Nicolas_Cage_1.npz
Nicolas_Eyzaguirre_2.npz,Nicolas_Eyzaguirre_0.npz
Nicolas_Sarkozy_1.npz,Nicolas_Sarkozy_2.npz
Nicolas_Sarkozy_1.npz,Nicolas_Sarkozy_5.npz
Nikki_McKibbin_0.npz,Nikki_McKibbin_5.npz
Nina_Jacobson_3.npz,Nina_Jacobson_0.npz
Noel_Niell_1.npz,Noel_Niell_4.npz
Nona_Gaye_4.npz,Nona_Gaye_5.npz
Nora_Ephron_4.npz,Nora_Ephron_1.npz
Norah_Jones_5.npz,Norah_Jones_4.npz
Norah_Jones_5.npz,Norah_Jones_2.npz
Norm_Macdonald_1.npz,Norm_Macdonald_4.npz
Norm_Macdonald_1.npz,Norm_Macdonald_5.npz
Norman_Mineta_0.npz,Norman_Mineta_5.npz
Nuon_Chea_1.npz,Nuon_Chea_0.npz
Nursultan_Nazarbayev_1.npz,Nursultan_Nazarbayev_3.npz
Olene_Walker_4.npz,Olene_Walker_1.npz
Olene_Walker_4.npz,Olene_Walker_0.npz
Oliver_Phelps_0.npz,Oliver_Phelps_2.npz
Olivia_Newton-John_0.npz,Olivia_Newton-John_4.npz
Olympia_Dukakis_1.npz,Olympia_Dukakis_4.npz
Orlando_Bloom_5.npz,Orlando_Bloom_4.npz
Orlando_Bloom_5.npz,Orlando_Bloom_0.npz
Ornella_Muti_2.npz,Ornella_Muti_0.npz
Orrin_Hatch_2.npz,Orrin_Hatch_5.npz
Oscar_DLeon_0.npz,Oscar_DLeon_2.npz
Oscar_Elias_Biscet_0.npz,Oscar_Elias_Biscet_5.npz
Otto_Reich_3.npz,Otto_Reich_0.npz
Otto_Reich_3.npz,Otto_Reich_1.npz
Otto_Schily_5.npz,Otto_Schily_4.npz
